case_id,event_index,vertex_index,x_m,y_m
7,6,0,-81.02649871457047,1521.4945259432272
7,6,1,-81.21347123309106,1522.7002070349522
7,6,2,-99.32355797906344,1518.4408514413212
7,6,3,-99.21716295827987,1517.884428359935
7,7,0,-1084.5834184818493,1252.370823559331
7,7,1,-1085.0880253320358,1251.1671782830417
7,7,2,-1070.7951562868755,1249.824912898798
7,7,3,-1070.5204351926666,1250.550600209645
7,8,0,-1159.3933830699696,1124.207624994271
7,8,1,-1159.8918934195624,1123.1289969648642
7,8,2,-1152.6201025953064,1106.0267853622622
7,8,3,-1150.8200262745338,1105.859638891725
7,9,0,-1440.419494271765,-86.96315179275018
7,9,1,-1437.7491779150255,-102.5442078088998
7,9,2,-1410.0162160721159,-96.06247577263741
7,9,3,-1403.1125325686403,-88.1889475361134
7,9,4,-1404.8238755176133,-79.9505317407496
7,10,0,-1432.698372931779,-123.91057937086181
7,10,1,-1436.810325809886,-125.08539231753635
7,10,2,-1438.0315019738946,-142.26886194856053
7,10,3,-1433.3021116521625,-140.73629543395228
7,11,0,-1388.8881479546676,-447.64641710043867
7,11,1,-1403.9826270900737,-464.9770016242531
7,11,2,-1388.6658871349848,-480.425295414186
7,11,3,-1373.6783228546622,-461.94688805383424
7,12,0,-1529.4866008324664,-817.5504178076479
7,12,1,-1528.733175046945,-816.0643703572771
7,12,2,-1533.6314278665966,-807.3979168486878
7,12,3,-1534.2145744899326,-808.4545030514615
7,13,0,-738.9081939989059,-905.8053139026488
7,13,1,-737.2633395518317,-905.7552027285915
7,13,2,-728.5764232302214,-874.3140250417329
7,13,3,-729.015270418627,-874.3428270675668
8,0,0,593.6247609741013,734.2438945204613
8,0,1,593.2450130968249,733.7741911342856
8,0,2,608.5677899447406,726.8991097708007
8,1,0,1537.299743395226,564.3910215570991
8,1,1,1539.6653743645895,563.3753998389141
8,1,2,1552.6520288431755,582.9998151651318
8,1,3,1551.026198140769,583.6312496020215
8,2,0,58.15233902017713,1459.6284935831773
8,2,1,60.12197711662299,1459.9788075786716
8,2,2,74.87617854380017,1486.4054122543866
8,2,3,74.58048771271471,1486.770625182141
8,3,0,-1281.3979900687243,1124.4623122979717
8,3,1,-1285.9108917196656,1118.1155623139202
8,3,2,-1268.6900821249735,1105.3751590332326
8,3,3,-1264.807071483526,1111.2629356961575
8,4,0,-1075.86810812597,1002.6824162924987
8,4,1,-1080.4545706805484,983.0894832214152
8,4,2,-1056.8060463317802,985.3270091151973
8,4,3,-1052.7877453591418,1005.686176601418
8,5,0,-619.8083326413413,210.43295364755403
8,5,1,-620.5285632453183,211.59842378937086
8,5,2,-624.0036976700759,206.2153604022344
8,5,3,-623.387996535549,205.29302758678773
8,6,0,-635.3311170701832,-770.581255551091
8,6,1,-637.4746045526026,-773.1810515174491
8,6,2,-612.0639388637032,-797.8014001243206
8,6,3,-609.2506401715015,-794.1343753363984
8,7,0,-537.1941359394617,-1464.5783777483932
8,7,1,-536.4821901696045,-1463.9613446603546
