family,id,seconds_per_source,cumulative_probability
mixed,976,502.39206642857147,0.43501611170784105
mixed,75,502.923444,0.43609022556390975
mixed,823,503.0726186923077,0.4371643394199785
mixed,864,504.1322644285714,0.43823845327604727
mixed,891,504.5308682307692,0.439312567132116
mixed,949,504.5688444,0.44038668098818473
mixed,932,504.7020192307692,0.4414607948442535
mixed,205,504.7594365,0.44253490870032225
mixed,984,505.29829115384615,0.44360902255639095
mixed,745,505.3191048461539,0.4446831364124597
mixed,691,505.5803948571429,0.44575725026852847
mixed,34,505.6383310769231,0.44683136412459723
mixed,992,505.7988681428571,0.44790547798066593
mixed,318,506.374394,0.4489795918367347
mixed,93,506.52581575,0.45005370569280345
mixed,567,506.8398054615385,0.45112781954887216
mixed,259,507.12922121428574,0.4522019334049409
mixed,547,507.2542099166667,0.4532760472610097
mixed,562,508.17902641666666,0.45435016111707843
mixed,639,508.2649623846154,0.45542427497314714
mixed,374,508.3885624166667,0.4564983888292159
mixed,981,508.4623344166666,0.45757250268528465
mixed,519,508.6157670769231,0.45864661654135336
mixed,731,508.663645,0.4597207303974221
mixed,838,508.6761617333333,0.4607948442534909
mixed,587,508.6994493076923,0.46186895810955964
mixed,569,508.7336283846154,0.46294307196562834
mixed,292,508.77469871428576,0.4640171858216971
mixed,115,509.18680075,0.46509129967776586
mixed,899,509.2111400769231,0.46616541353383456
mixed,943,509.7875495384615,0.4672395273899033
mixed,714,509.8841296153847,0.4683136412459721
mixed,132,510.03557300000006,0.46938775510204084
mixed,761,510.1532725,0.47046186895810954
mixed,675,510.79769675,0.4715359828141783
mixed,909,511.1957486153846,0.47261009667024706
mixed,549,511.2397466923077,0.47368421052631576
mixed,897,512.0422243571428,0.4747583243823845
mixed,160,512.0634125333333,0.4758324382384533
mixed,982,512.1001356153846,0.47690655209452204
mixed,940,512.4046152142857,0.47798066595059074
mixed,305,512.4182478461538,0.4790547798066595
mixed,795,512.4441105384615,0.48012889366272826
mixed,717,512.997762,0.48120300751879697
mixed,499,513.2896430833333,0.4822771213748657
mixed,113,513.3517165384616,0.4833512352309345
mixed,55,513.471759,0.48442534908700324
mixed,777,513.6554503846154,0.48549946294307195
mixed,317,514.0372924166667,0.4865735767991407
mixed,469,514.2030498,0.48764769065520946
mixed,262,514.2272965,0.48872180451127817
mixed,335,514.3106883846153,0.4897959183673469
mixed,756,515.0502450666667,0.4908700322234157
