id,step,phase,N,time_s,nodes,sample_group,remaining_cost,spearman,constant_prediction,top1_optimal,top3_best_recall,top3_overlap,predictor_regret,R12_regret,predictor_gain,top3_available_gain,margin,H1_pred,H1_R12,H2_pred,H2_R12,H3_pred,H3_R12
407,15,late,16,5092.818763,10,N16_late,1975.6808540000002,-0.9515151515151514,False,False,False,0.0,1494.2986650000003,92.81413200000043,-1401.4845329999998,-990.0377579999995,0.3211050598876857,True,True,False,False,False,False
407,16,late,16,5336.788091,9,late,1731.711526,-0.38333333333333336,False,False,False,0.3333333333333333,408.8949910000001,23.32265500000085,-385.57233599999927,17.481243000000177,0.23212797867022172,True,False,False,False,True,False
409,13,late,16,4159.287147,12,late,2143.295226,0.0,False,False,False,0.0,412.8530979999996,152.73551899999984,-260.11757899999975,-115.79390700000022,0.4239888410386061,True,False,False,False,False,False
409,14,late,16,4318.115278,11,N16_late,1984.467095,-0.39090909090909093,False,False,False,0.0,936.3863160000001,545.4241620000003,-390.9621539999998,-268.4098349999995,0.6536419965165753,True,False,False,False,False,False
410,0,early,16,0.0,25,early,5612.59507,0.28467013413683273,False,False,False,0.3333333333333333,286.00003800000013,286.00003800000013,0.0,0.0,0.0,True,True,False,False,False,False
410,8,middle,16,2420.701003,17,middle,3191.894067,-0.24019607843137256,False,False,False,0.3333333333333333,272.4950920000001,151.7638190000007,-120.73127299999942,-120.73127299999942,0.7005813902693349,True,False,False,False,False,False
410,10,middle,16,2966.384192,15,middle,2646.2108780000003,-0.12857142857142856,False,False,False,0.0,402.0831619999999,0.0,-402.0831619999999,-402.0831619999999,0.77392104975925,True,False,False,False,False,False
411,16,late,16,4997.800176,9,N16_late,2862.9459320000005,0.7166666666666667,False,False,False,0.6666666666666666,231.72359700000015,521.8615120000004,290.13791500000025,290.13791500000025,0.5739726029867401,True,False,False,False,False,False
411,18,late,16,5339.465508,7,N16_late,2521.2806,-0.7500000000000002,False,False,False,0.0,374.53145099999983,356.9087580000005,-17.622692999999344,79.7146130000001,0.051991968720279,True,True,True,False,True,True
412,15,late,16,4354.017366,10,N16_late,2644.172232,0.0303030303030303,False,False,False,0.0,302.7189150000004,1004.5984280000002,701.8795129999999,719.2626970000001,0.39372863373806444,False,False,False,False,False,False
