audit,delta,directional_count,full,historical_B,historical_failed,id,revised_B,revised_failed,scene_hash,total
True,0.0,6,True,561.2597009230769,0,96,561.2597009230769,0,7ffa6af94adb2e66cec7e810b1cf269c8a03d3bfa53862a9b6fa4534f798a885,13
True,0.0,9,True,595.9812525454546,0,97,595.9812525454546,0,d44d886841d3ca2fe07de482640f4f6d46eb94fcc5b80372be966b048581d58f,11
True,0.06921462499997233,6,True,341.0333876875,0,98,341.1026023125,0,c501a90c301672ef9bee4de03be0b29664e181801d22e5392f71b211fe8102fd,16
True,0.0,11,True,565.8060594666666,0,99,565.8060594666666,0,bb44990d917ef8bee65be422f5c1d547e89ec8d7b396f6584b92c306676e96c4,15
True,-0.04002391666665517,5,True,520.788498,0,100,520.7484740833333,0,7e483e2a9f61074321cb615772514859b1fc93d043f33544280767fbe5a5dc40,12
True,0.0,2,True,639.8611557,0,101,639.8611557,0,805ad7bbc89b17edf4facc78a947773c6d9ee24dde229e118607a5139880832c,10
True,-0.0034961874999908105,5,True,311.9703990625,0,102,311.966902875,0,bcf0f6761f4b149aaee4b9c26f9c1f27f049afc0df02d7f2bcf864d296a23404,16
True,0.0,9,True,576.313481,0,103,576.313481,0,5c5c1d74056d40e58bf3ca5e4ea34eed25f78fa91c587c3fb7ecc57edd7c2c07,11
True,-0.03382974999999533,5,True,412.7296511875,0,104,412.6958214375,0,bec772619e446a2052b1f2737e4a1c21141e53701f79a4699bf6cfb2563a8db1,16
True,0.0,10,True,443.3303401333333,0,105,443.3303401333333,0,9634a4212c5d4012e9c72bd6901a85036376f0d926acdad47d6bb2056d7fd135,15
True,0.0,16,True,404.156218875,0,106,404.156218875,0,d7fd05212c32e3228f501206f0c11e24c2fc493dae26ec8bb5732413ae7ec046,16
True,-2.6090909045706212e-05,9,True,642.5829667272727,0,107,642.5829406363637,0,84b22e110299e35ded069facc67f28c05a219212e2f4f66512c95a46c419f950,11
True,0.0,2,True,407.56322453333337,0,108,407.56322453333337,0,cda4277db2ff239c90c80da9d01e83dd4b5d866501996c0c4ce659b59ab322e3,15
True,0.0,5,True,538.3079925384616,0,109,538.3079925384616,0,45c36f6e1aa38978ebf5e8c1dcddd9ed31f96b14045c828187ba7d345ba56cde,13
True,0.0049698000000262255,6,True,475.65923533333336,0,110,475.6642051333334,0,2e3c8b94dcd53b09f4736a5d1aacc5d74c126906acd8751ea3519b63475f1d57,15
True,0.0,3,True,539.6822285,0,111,539.6822285,0,fb672cbbbfac6632903f451fa8ec819fc89e23d52e2a41ccecf6e3c905df9097,12
True,-0.01952863636370239,10,True,625.6531734545455,0,112,625.6336448181818,0,44101181014ca1e7613db306874d6dc2dc9800d8ea9776653dbd604572e47b2f,11
True,0.0,6,True,513.3517165384616,0,113,513.3517165384616,0,a11cf64430ff6039729f7f9dd5a22f1f32ef4540ad814829a46dd0976832f575,13
True,0.0,9,True,532.2194402307692,0,114,532.2194402307692,0,345b86ea512fc410e30b037f7f003a845418dd910f73035751bfa23f4fe7df4a,13
True,0.0,3,True,509.18680075,0,115,509.18680075,0,c97082f3d53fca14f799eb02d3752010e053a7254105688f113615acb0bfc8d8,12
True,0.0,7,True,375.3610416875,0,116,375.3610416875,0,f05cf73c6cbdbc17ff48ad17d45febcc2ccbe47119e96f55e83e648e863797ff,16
True,0.007572538461602107,8,True,500.25811538461534,0,117,500.26568792307694,0,630eae2394c8bbd030384454da660241ff2d8123237af927a5329da409d61f29,13
True,0.0,10,True,622.6709114166666,0,118,622.6709114166666,0,fbce30bd3348128f459c74ae4fe2816b49d1ed079d7258e04a0adb2a3e20d3b4,12
True,0.2043986666666342,1,True,397.3857372666667,0,119,397.59013593333333,0,027fb3e2f8fa81a686395b7397c15278444831e5b1e9473e9c1eb7026663a90d,15
True,-0.042263642857164996,9,True,518.6989263571429,0,120,518.6566627142857,0,5bf48456f79bceed1652c247190b78a7416d2cbcfbff593d8645227e9d372f10,14
True,0.0,9,True,578.7519110909091,0,121,578.7519110909091,0,7d5f6523c92b2adcffb2abd6ebf26ed693b7eb43f473e5f81aed0ec13850ca6e,11
True,-0.011082909090873727,2,True,574.3760282727272,0,122,574.3649453636364,0,3979436a224cb6d1d69bdd97745d5409dc064d38d35e86bd4b0bdfdf4242eb5a,11
True,0.13098772727278174,2,True,550.7540718181818,0,123,550.8850595454546,0,22104795386ce31e3fd3dc9b8b9c5163fa1025649f854c06e37fbf716f7b6224,11
