id,cohort,family,total,comparison,delta_s_per_source,delta_percent,delta_total_s,baseline_s_per_source,valid
35,development,strict_mixed_stratified,12,R2-R0,-112.97548766666671,-15.249356180489722,-1355.705852,740.8541470833334,True
35,development,strict_mixed_stratified,12,R12-R0,-112.97548766666671,-15.249356180489722,-1355.705852,740.8541470833334,True
35,development,strict_mixed_stratified,12,R12-R1,-112.97548766666671,-15.249356180489722,-1355.705852,740.8541470833334,True
35,development,strict_mixed_stratified,12,R12-R2,0.0,0.0,0.0,627.8786594166667,True
36,development,strict_mixed_stratified,13,R1-R0,0.0,0.0,0.0,700.2666287692307,True
36,development,strict_mixed_stratified,13,R2-R0,-129.05048269230758,-18.42876375804501,-1677.6562749999994,700.2666287692307,True
36,development,strict_mixed_stratified,13,R12-R0,-129.05048269230758,-18.42876375804501,-1677.6562749999994,700.2666287692307,True
36,development,strict_mixed_stratified,13,R12-R1,-129.05048269230758,-18.42876375804501,-1677.6562749999994,700.2666287692307,True
36,development,strict_mixed_stratified,13,R12-R2,0.0,0.0,0.0,571.2161460769231,True
37,evaluation,strict_mixed_stratified,10,R1-R0,0.0,0.0,0.0,903.1289416,True
37,evaluation,strict_mixed_stratified,10,R2-R0,-222.11270579999996,-24.593687077118908,-2221.127058,903.1289416,True
37,evaluation,strict_mixed_stratified,10,R12-R0,-222.11270579999996,-24.593687077118908,-2221.127058,903.1289416,True
37,evaluation,strict_mixed_stratified,10,R12-R1,-222.11270579999996,-24.593687077118908,-2221.127058,903.1289416,True
37,evaluation,strict_mixed_stratified,10,R12-R2,0.0,0.0,0.0,681.0162358,True
38,evaluation,strict_mixed_stratified,11,R1-R0,0.0,0.0,0.0,806.3116302727274,True
38,evaluation,strict_mixed_stratified,11,R2-R0,-195.60143427272737,-24.25878865303816,-2151.615777000001,806.3116302727274,True
38,evaluation,strict_mixed_stratified,11,R12-R0,-195.60143427272737,-24.25878865303816,-2151.615777000001,806.3116302727274,True
38,evaluation,strict_mixed_stratified,11,R12-R1,-195.60143427272737,-24.25878865303816,-2151.615777000001,806.3116302727274,True
38,evaluation,strict_mixed_stratified,11,R12-R2,0.0,0.0,0.0,610.710196,True
39,evaluation,strict_mixed_stratified,12,R1-R0,0.0,0.0,0.0,737.2031186666667,True
39,evaluation,strict_mixed_stratified,12,R2-R0,-117.33247383333332,-15.915894936194144,-1407.989686,737.2031186666667,True
39,evaluation,strict_mixed_stratified,12,R12-R0,-117.33247383333332,-15.915894936194144,-1407.989686,737.2031186666667,True
39,evaluation,strict_mixed_stratified,12,R12-R1,-117.33247383333332,-15.915894936194144,-1407.989686,737.2031186666667,True
