id,step,repeat,channel,source_ess,source_proposals,noise_samples,selected_noise_ess,zero_source_weights
503,16,0,14,90.66892574128386,128,512,267.99999999999943,1
503,16,0,15,51.477345019810045,128,512,113.00000000000004,26
503,16,0,17,65.54554341637969,128,512,237.0000000000001,22
503,16,0,20,67.14869735586795,128,512,512.0,5
230,18,0,2,62.75223587120432,128,512,511.0,12
230,18,0,3,74.54907789886626,128,512,163.99999999999983,4
230,18,0,4,58.10834357053667,128,512,328.0,10
230,18,0,5,63.3305394715029,128,512,440.99999999999955,19
230,18,0,6,70.41718967497839,128,512,395.0000000000001,7
230,18,0,9,65.97819172121339,128,512,83.00000000000007,18
230,18,0,11,56.83269396249778,128,512,30.99999999999994,19
230,18,0,12,71.91534401112817,128,512,77.00000000000007,8
230,18,0,14,70.23867999332899,128,512,216.00000000000023,9
230,18,0,15,95.94418693437224,128,512,306.9999999999995,2
230,18,0,16,94.64558690835976,128,512,385.0,0
230,18,0,17,85.28198291063076,128,512,512.0,11
230,18,0,18,63.447868458276034,128,512,511.9999999999998,14
230,18,0,19,70.99927178400374,128,512,466.00000000000057,6
230,18,0,20,74.0464239966527,128,512,314.00000000000114,20
230,18,2,2,68.68578161148508,128,512,511.9999999999998,10
230,18,2,3,76.54932556650192,128,512,243.00000000000028,5
230,18,2,4,64.66497919703248,128,512,77.00000000000006,9
230,18,2,5,60.62572196076998,128,512,328.9999999999997,16
230,18,2,6,64.03800581721008,128,512,444.0000000000001,15
230,18,2,9,73.2743977194735,128,512,72.99999999999997,16
230,18,2,11,48.15241896049203,128,512,64.99999999999984,24
230,18,2,12,77.95788673544236,128,512,195.00000000000003,5
230,18,2,14,68.90250359833676,128,512,167.0000000000004,11
230,18,2,15,91.31422240052231,128,512,300.9999999999996,2
230,18,2,16,93.28889915745029,128,512,350.9999999999995,1
230,18,2,17,85.29549240671699,128,512,443.0000000000003,10
230,18,2,18,69.14716326020401,128,512,345.99999999999955,12
230,18,2,19,66.0607218705775,128,512,111.00000000000013,8
230,18,2,20,87.17277235410656,128,512,293.99999999999966,12
230,18,1,2,71.38053696637719,128,512,451.99999999999994,13
230,18,1,3,73.86675239044422,128,512,276.99999999999943,8
230,18,1,4,53.83183293470888,128,512,224.00000000000028,11
230,18,1,5,67.33666700152187,128,512,355.0000000000002,11
230,18,1,6,66.34998565375778,128,512,213.0000000000003,14
230,18,1,9,66.92270048003847,128,512,68.99999999999989,21
230,18,1,11,60.17320485743044,128,512,64.99999999999984,20
230,18,1,12,76.05734321756124,128,512,467.00000000000006,3
230,18,1,14,71.77320385879764,128,512,418.0000000000004,9
230,18,1,15,92.39854239627448,128,512,180.00000000000003,3
230,18,1,16,94.54758216107116,128,512,386.0000000000002,1
230,18,1,17,89.9857710565334,128,512,449.0000000000003,6
230,18,1,18,69.22563462062337,128,512,242.0000000000002,17
230,18,1,19,71.93542042618509,128,512,332.0000000000005,4
230,18,1,20,78.14367499829314,128,512,333.99999999999983,10
