seed,total,C_s_per_source,R12_s_per_source,delta_s_per_source,delta_distance_m
350,13,696.3772008461539,518.721554,-177.6556468461539,-7452.617008431291
351,15,678.2106632,485.783612,-192.4270512,-9487.028850274903
352,12,761.7217335833334,569.4038636666667,-192.31786991666672,-7954.072178395276
353,13,657.0974326153846,520.83153,-136.26590261538456,-5262.283642434944
354,10,975.0426643000001,686.6366157,-288.4060486000001,-9255.302413978461
355,13,710.3280631538462,533.7992991538462,-176.52876400000002,-6864.369630622205
356,11,827.3802959090909,591.1021945454545,-236.27810136363644,-9140.295557875794
357,12,744.6533193333333,618.9371215833334,-125.71619774999999,-4882.971855767388
358,16,357.4620518125,446.08987325,88.62782143749996,5565.225724116266
359,14,656.9302647857143,542.6997792857143,-114.23048549999999,-5621.133985415407
360,13,686.3427720769231,591.8930408461539,-94.4497312307692,-3924.232536815911
361,13,713.5600027692308,480.9155303846154,-232.64447238461537,-8546.890692532506
362,16,506.4336184375,293.486729375,-212.94688906250002,-11815.751101027006
363,11,839.793628909091,600.1343645454546,-239.65926436363645,-8521.259507180253
364,12,751.81839475,635.8253261666667,-115.9930685833333,-4729.584084826318
365,13,677.7284421538461,486.1310840769231,-191.597358076923,-8193.828268409765
366,13,768.7289745384616,556.7992517692308,-211.9297227692308,-9935.431987201831
367,11,814.0253484545455,603.2306508181819,-210.7946976363636,-8498.708351023615
368,15,583.5404371999999,497.6780908,-85.86234639999992,-2869.675981998069
369,16,508.2655485,364.4697473125,-143.79580118750005,-9628.66407240216
370,10,900.6665341,658.6441341,-242.02240000000006,-8001.119989962564
371,16,534.9629449375,351.3138035,-183.64914143749996,-11211.931294730093
372,11,903.6442634545455,613.4197644545455,-290.2244989999999,-12322.347418585097
373,12,737.53738875,605.0804725833333,-132.4569161666667,-4242.414955001244
374,12,782.2891844166667,551.7013203333333,-230.58786408333333,-9520.271818492769
375,10,920.3868534999999,723.9056321,-196.48122139999987,-5989.061070849089
376,10,913.7330486000001,682.537399,-231.19564960000002,-6834.782465758606
377,13,688.0948450000001,559.2941443846154,-128.8007006153847,-5527.045558527334
378,16,343.0088323125,342.8494583125,-0.15937399999995705,1857.2501012532848
379,12,714.2928495,567.64705825,-146.64579125,-6388.747454214907
380,15,552.8455934,453.62210200000004,-99.22349139999994,-5811.761844391065
381,15,625.8206192,483.7768365333333,-142.0437826666667,-7063.283675616294
382,12,738.180886,586.729244,-151.451642,-5597.098499132913
383,13,700.4953176923077,609.1850296153846,-91.31028807692314,-2840.168700034632
384,14,691.0843686428572,543.7897638571428,-147.29460478571434,-7530.6223094006855
385,10,994.0526923,734.5163454,-259.5363469,-7081.817354467541
386,12,786.4643476666666,594.78198525,-191.6823624166666,-7910.9417417777295
387,16,550.18928625,462.025197875,-88.164088375,-2128.1270473399745
388,13,722.7162136153846,567.6657166923077,-155.05049692307693,-8448.282292905416
389,14,632.1037170714286,496.5815214285714,-135.52219564285718,-7401.553673775998
390,15,594.1593042000001,463.6973136,-130.4619906000001,-7679.649284922198
391,14,665.9395071428571,544.6952896428571,-121.24421749999999,-6782.095220601579
392,10,875.5049639000001,636.6085082,-238.89645570000016,-6324.822761789081
393,12,757.8675323333333,584.07742775,-173.79010458333335,-6632.406243948455
394,12,772.8086693333333,575.8375906666666,-196.9710786666667,-8598.264725965466
395,11,889.0413605454545,748.7075433636364,-140.33381718181806,-4288.359924816275
396,13,682.4587353076923,527.3414582307693,-155.11727707692307,-7467.622988549061
397,11,792.6217832727272,595.756362,-196.8654212727272,-6502.598157528122
398,14,591.8148869285715,470.6613657857143,-121.15352114285719,-6555.74646918504
399,11,831.3990554545454,614.2214414545455,-217.17761399999995,-7114.768755087829
400,14,665.9035102142858,521.1966884999999,-144.70682171428587,-6739.477502606565
401,15,553.6114706666667,475.456221,-78.15524966666669,-4271.64368270299
402,10,991.2601060000001,702.1730719,-289.0870341000001,-9419.351705899222
403,11,827.3401067272728,645.4250525454546,-181.91505418181816,-5690.327976457811
404,16,437.3978828125,304.60121775,-132.79666506249998,-7448.733187841706
405,14,613.9242598571428,493.4732958571429,-120.45096399999994,-5531.567481276674
406,13,774.6619073076922,588.328559,-186.33334830769218,-8591.667636748687
407,13,689.7046822307692,570.7964059230769,-118.90827630769229,-4864.037943013769
408,16,467.7271795625,274.7974576875,-192.92972187499998,-12234.377758076542
409,12,715.8056284999999,638.23906325,-77.56656524999994,-1388.9938985319604
410,11,866.7512670909091,676.3745627272727,-190.37670436363635,-7720.718715903349
411,13,735.953477076923,576.6124043076923,-159.34107276923078,-5702.16971919284
412,15,593.9658714,452.6700218666667,-141.2958495333333,-8112.188707618021
413,12,741.4083779166667,590.6548786666666,-150.75349925000012,-5865.20995286353
414,10,898.6900648999999,735.3863576,-163.30370729999993,-5220.185338527794
415,11,826.3931674545455,638.9394553636364,-187.4537120909091,-6729.954141527094
416,15,622.7510654,520.0606356666666,-102.69042973333342,-3491.78223357314
